Alter;Geschlecht;Vertragsenddatum;Bereich;Standort;Vertragsart;Austrittsdatum;Betriebszugehoerigkeit;FTE;FK;Abteilungsgroeﬂe;Zeit_auf_Position;Mitarbeiterstatus;Aktiv;2023_Ziele;2023_Pers_Beurteilung;2024_Ziele;2024_Pers_Beurteilung;Krankenstand_2023;Krankenstand_2024;Gehaltsentwicklung
51-60;M;;Werk;B;Permanent;;39-41;999.0;0;36.415240336290694;18-20;Terminated;1;#NV;Durchschnitt;#NV;Durchschnitt;20,01 - 40%;kleiner 1%;5%-9%
31-40;M;;Gesch‰ftsbereich;C;Fixed term contract;31.10.2022;"""6-8""";0.0;1;42.244711365493814;"""6-8""";Dormant;0;#NV;‹berdurchschnitt;#NV;Durchschnitt;;1,0 - 3 %;10%-14%
31-40;F;;Gesch‰ftsbereich;F;Permanent;30.06.2025;"""6-8""";1.0;0;36.05833039904518;"""3-5""";Active;0;#NV;#NV;#NV;#NV;1 % - 3 %;kleiner 1%;
51-60;M;;HQ;D;Permanent;;27-29;1.0;0;22.086111483690495;15-17;Active;1;#NV;#NV;#NV;Unrated;;;5%-9%
25-30;M;31.01.2023;Gesch‰ftsbereich;G;Permanent;31.07.2022;"""12-14""";999.0;1;28.812600172912646;"""9-11""";Active;0;#NV;‹berdurchschnitt;#NV;#NV;;;5%-9%
31-40;M;;Werk;C;Permanent;31.07.2024;"""3-5""";0.5;0;5.92159017685651;"""3-5""";Terminated;0;#NV;‹berdurchschnitt;#NV;#NV;;1,0 - 3 %;
18-24;F;28.02.2026;HQ;G;Permanent;31.01.2025;0-2;0.0;1;265.04022355501814;0-2;Active;0;Durchschnitt;Durchschnitt;#NV;‹berdurchschnitt;3,1 - 5%;;
41-50;M;;Werk;E;Permanent;;"""12-14""";999.0;1;35.32470606648;"""12-14""";Active;1;#NV;#NV;Durchschnitt;Durchschnitt;;5,1 - 10%;10%-14%
41-50;F;;Werk;B;Permanent;;"""9-11""";0.5;1;95.75721426684356;0-2;Terminated;1;#NV;Durchschnitt;Durchschnitt;Unrated;kleiner 1 %;;10%-14%
41-50;M;;Werk;C;Permanent;;"""6-8""";1.0;1;20.29999125907515;"""6-8""";Active;1;#NV;‹berdurchschnitt;#NV;‹berdurchschnitt;;;
18-24;M;;Gesch‰ftsbereich;D;Permanent;;0-2;0.5;1;10.26747574087325;0-2;Active;0;#NV;#NV;#NV;#NV;;1,0 - 3 %;
51-60;M;;Gesch‰ftsbereich;A;Permanent;;39-41;0.5;0;76.2021418265038;"""12-14""";Terminated;0;#NV;Durchschnitt;#NV;#NV;;10,1 - 15%;
18-24;M;;Werk;E;Permanent;23.10.2023;0-2;0.5;0;14.982801626440448;0-2;Active;1;#NV;‹berdurchschnitt;#NV;#NV;;5,1 - 10%;
31-40;F;;Gesch‰ftsbereich;B;Permanent;30.09.2024;"""9-11""";0.5;1;51.23675410389194;"""3-5""";Active;1;‹berdurchschnitt;Durchschnitt;#NV;Durchschnitt;20,01 - 40%;;5%-9%
41-50;M;14.03.2027;HQ;C;Fixed term contract;30.04.2023;15-17;0.5;0;98.95423304048933;0-2;Terminated;1;#NV;#NV;#NV;‹berdurchschnitt;3,1 - 5%;;5%-9%
31-40;F;;Werk;F;Permanent;;18-20;999.0;1;64.55655068204248;15-17;Active;1;#NV;‹berdurchschnitt;#NV;‹berdurchschnitt;5,1 - 10%;5,1 - 10%;10%-14%
41-50;M;;HQ;G;Permanent;;24-26;1.0;0;15.857485103814128;"""6-8""";Terminated;1;#NV;‹berdurchschnitt;#NV;#NV;5,1 - 10%;;5%-9%
41-50;M;;HQ;B;Permanent;;"""9-11""";0.5;1;9.7310671650232;"""6-8""";Dormant;0;Durchschnitt;Durchschnitt;#NV;Durchschnitt;3,1 - 5%;;5%-9%
51-60;M;22.12.2023;Gesch‰ftsbereich;A;Permanent;;27-29;0.0;0;58.893304224748924;"""9-11""";Dormant;0;‹berdurchschnitt;#NV;#NV;#NV;15,1 - 20 %;;10%-14%
31-40;M;;Gesch‰ftsbereich;B;Permanent;;"""6-8""";1.0;0;9.532534304328106;"""6-8""";Active;1;#NV;#NV;‹berdurchschnitt;#NV;10,1 - 15 %;1,0 - 3 %;20%-24%
51-60;M;;Werk;C;Fixed term contract;;0-2;999.0;0;7.814481500258107;0-2;Active;0;#NV;‹berdurchschnitt;‹berdurchschnitt;#NV;3,1 - 5%;;
25-30;M;;Gesch‰ftsbereich;D;Permanent;;"""6-8""";0.5;0;70.21838821726021;"""6-8""";Dormant;1;#NV;‹berdurchschnitt;#NV;#NV;;3,1 - 5%;5%-9%
51-60;F;31.03.2025;HQ;A;Permanent;31.12.2022;15-17;0.5;0;10.246699198964144;15-17;Active;0;Durchschnitt;#NV;#NV;Durchschnitt;;3,1 - 5%;
41-50;F;;Werk;G;Permanent;;"""6-8""";1.0;1;46.78411785996171;"""6-8""";Active;0;#NV;Durchschnitt;#NV;#NV;5,1 - 10%;;15%-19%
41-50;M;;Gesch‰ftsbereich;B;Permanent;;"""9-11""";0.0;1;178.0807901177118;"""3-5""";Active;0;#NV;#NV;#NV;Durchschnitt;;;15%-19%
41-50;M;;Werk;A;Fixed term contract;;"""6-8""";0.0;0;16.629347838340404;"""6-8""";Active;1;#NV;‹berdurchschnitt;#NV;#NV;;10,1 - 15%;5%-9%
18-24;M;;Werk;G;Permanent;;"""3-5""";1.0;0;11.918209267156161;0-2;Active;0;Durchschnitt;‹berdurchschnitt;#NV;‹berdurchschnitt;3,1 - 5%;3,1 - 5%;
‹ber 60;M;;Werk;A;Permanent;31.12.2022;33-35;1.0;1;24.797545344117218;0-2;Active;1;#NV;‹berdurchschnitt;#NV;#NV;1 % - 3 %;1,0 - 3 %;
51-60;F;;Werk;D;Permanent;;24-26;0.0;1;198.71240356684714;15-17;Active;0;Unrated;Durchschnitt;#NV;Durchschnitt;;5,1 - 10%;
51-60;M;;Werk;E;Permanent;;24-26;0.5;0;44.73827091379098;15-17;Dormant;0;Durchschnitt;#NV;#NV;Durchschnitt;3,1 - 5%;kleiner 1%;10%-14%
‹ber 60;M;;HQ;G;Permanent;;33-35;0.5;1;177.82193265280955;"""3-5""";Active;1;#NV;‹berdurchschnitt;Durchschnitt;#NV;5,1 - 10%;1,0 - 3 %;5%-9%
31-40;M;28.02.2025;HQ;G;Permanent;;0-2;0.5;0;101.60536415842624;0-2;Active;1;#NV;#NV;#NV;‹berdurchschnitt;15,1 - 20 %;3,1 - 5%;
18-24;F;;Gesch‰ftsbereich;A;Permanent;30.09.2024;0-2;0.5;1;26.0657508559317;0-2;Active;0;Durchschnitt;Durchschnitt;Durchschnitt;‹berdurchschnitt;3,1 - 5%;;
25-30;F;17.02.2026;HQ;D;Permanent;;0-2;0.5;1;121.12235962077938;0-2;Active;0;#NV;Durchschnitt;‹berdurchschnitt;‹berdurchschnitt;1 % - 3 %;15,1 - 20%;
41-50;M;;Gesch‰ftsbereich;B;Permanent;;"""9-11""";1.0;0;14.803228780128302;"""3-5""";Dormant;1;Durchschnitt;#NV;Unrated;#NV;1 % - 3 %;;
31-40;F;31.08.2023;Werk;G;Permanent;31.08.2023;21-23;1.0;0;8.359913907782055;"""3-5""";Active;1;#NV;Durchschnitt;‹berdurchschnitt;Durchschnitt;;3,1 - 5%;15%-19%
51-60;M;;HQ;F;Permanent;31.03.2025;42-44;0.0;1;100.84362178770373;0-2;Active;1;#NV;‹berdurchschnitt;#NV;#NV;5,1 - 10%;;5%-9%
25-30;F;;Gesch‰ftsbereich;E;Permanent;;"""9-11""";0.0;1;2.9222943048144874;0-2;Active;1;‹berdurchschnitt;‹berdurchschnitt;#NV;‹berdurchschnitt;5,1 - 10%;10,1 - 15%;20%-24%
41-50;M;10.06.2022;HQ;A;Permanent;;"""9-11""";999.0;0;17.578506303365007;"""9-11""";Active;0;‹berdurchschnitt;Durchschnitt;#NV;‹berdurchschnitt;3,1 - 5%;;5%-9%
41-50;F;;HQ;F;Fixed term contract;;"""9-11""";0.5;1;22.33943741446863;"""9-11""";Active;0;Durchschnitt;#NV;Durchschnitt;Durchschnitt;1 % - 3 %;;10%-14%
51-60;M;;HQ;B;Permanent;;15-17;0.5;0;57.4187704012515;"""3-5""";Terminated;0;‹berdurchschnitt;#NV;‹berdurchschnitt;#NV;1 % - 3 %;;
41-50;M;28.02.2025;Gesch‰ftsbereich;A;Permanent;;21-23;0.5;1;45.77976597573716;18-20;Active;0;‹berdurchschnitt;#NV;#NV;#NV;;;5%-9%
41-50;F;;Werk;B;Permanent;;"""12-14""";0.5;1;79.7237934667097;0-2;Active;0;#NV;Durchschnitt;#NV;#NV;;;10%-14%
25-30;M;31.03.2025;Gesch‰ftsbereich;G;Permanent;;"""9-11""";1.0;0;2.747284659347502;0-2;Active;1;Unterdurchschnitt;#NV;#NV;#NV;;1,0 - 3 %;20%-24%
25-30;M;;Werk;F;Permanent;;"""9-11""";0.0;1;32.210751534270884;"""3-5""";Active;1;#NV;‹berdurchschnitt;#NV;Durchschnitt;3,1 - 5%;10,1 - 15%;20%-24%
41-50;M;;HQ;F;Permanent;;0-2;0.0;1;155.90038464373797;0-2;Terminated;1;#NV;Unrated;‹berdurchschnitt;#NV;5,1 - 10%;kleiner 1%;
25-30;M;;Werk;C;Fixed term contract;29.02.2024;0-2;1.0;0;23.388720200008024;0-2;Active;0;#NV;#NV;#NV;‹berdurchschnitt;5,1 - 10%;;
‹ber 60;M;;HQ;C;Permanent;;27-29;1.0;0;78.6373364388166;"""3-5""";Terminated;0;#NV;‹berdurchschnitt;#NV;#NV;1 % - 3 %;1,0 - 3 %;
41-50;M;;Gesch‰ftsbereich;B;Permanent;;21-23;999.0;1;25.041446868712306;"""12-14""";Active;0;Durchschnitt;‹berdurchschnitt;#NV;#NV;;1,0 - 3 %;20%-24%
31-40;M;;Werk;E;Permanent;;"""9-11""";0.5;1;25.56334283317776;0-2;Active;1;#NV;‹berdurchschnitt;#NV;‹berdurchschnitt;1 % - 3 %;3,1 - 5%;15%-19%
41-50;F;;HQ;F;Fixed term contract;;"""9-11""";999.0;0;18.699101518278805;"""9-11""";Active;0;#NV;Durchschnitt;‹berdurchschnitt;#NV;;1,0 - 3 %;20%-24%
31-40;M;;Gesch‰ftsbereich;F;Permanent;;"""9-11""";0.5;0;63.63571702091791;0-2;Terminated;0;#NV;#NV;‹berdurchschnitt;#NV;;3,1 - 5%;20%-24%
41-50;M;;Werk;C;Permanent;;30-32;0.5;0;46.207348534795344;18-20;Active;1;#NV;‹berdurchschnitt;Unrated;Durchschnitt;kleiner 1 %;;"""-5%-1%"""
31-40;M;30.06.2025;Werk;E;Permanent;30.04.2023;"""12-14""";1.0;1;162.19668459804467;"""3-5""";Terminated;0;#NV;Durchschnitt;Unterdurchschnitt;Durchschnitt;5,1 - 10%;1,0 - 3 %;20%-24%
51-60;M;;Werk;B;Permanent;;36-38;1.0;1;153.7973111408629;"""6-8""";Active;0;Durchschnitt;#NV;#NV;Unrated;1 % - 3 %;;
41-50;M;;Werk;F;Permanent;;24-26;1.0;1;67.83264411758833;"""9-11""";Active;1;‹berdurchschnitt;Durchschnitt;#NV;#NV;;10,1 - 15%;5%-9%
25-30;M;;HQ;D;Fixed term contract;21.08.2024;"""3-5""";1.0;1;23.70161779338408;"""3-5""";Active;0;#NV;#NV;#NV;Unrated;;;95%-100%
25-30;M;;Gesch‰ftsbereich;G;Permanent;;0-2;1.0;0;94.87983230642787;0-2;Dormant;1;#NV;#NV;#NV;‹berdurchschnitt;10,1 - 15 %;3,1 - 5%;
31-40;M;;Werk;A;Permanent;31.12.2024;0-2;0.0;1;182.1526318153202;0-2;Dormant;0;#NV;#NV;‹berdurchschnitt;Durchschnitt;;;
31-40;F;;Werk;F;Permanent;;"""9-11""";0.5;1;10.567500010211216;0-2;Active;0;Unrated;#NV;#NV;#NV;;5,1 - 10%;
51-60;F;;Werk;F;Fixed term contract;;21-23;0.5;0;190.77289413169711;"""3-5""";Active;1;#NV;#NV;#NV;#NV;;5,1 - 10%;5%-9%
18-24;M;;Werk;B;Fixed term contract;;0-2;1.0;1;263.70979997493936;0-2;Active;0;#NV;#NV;#NV;#NV;;;
41-50;M;;Werk;F;Permanent;;"""9-11""";0.5;1;4.027549827464508;"""6-8""";Active;1;Durchschnitt;Durchschnitt;#NV;#NV;;1,0 - 3 %;
41-50;M;;Werk;A;Permanent;;24-26;0.0;0;54.22803446416813;"""12-14""";Active;0;#NV;#NV;#NV;#NV;;15,1 - 20%;5%-9%
41-50;M;;HQ;F;Permanent;30.06.2022;15-17;999.0;1;143.94608723273248;"""6-8""";Dormant;1;Durchschnitt;#NV;#NV;#NV;;;10%-14%
41-50;M;;Gesch‰ftsbereich;D;Permanent;;"""9-11""";0.5;0;63.5724338978879;0-2;Terminated;1;#NV;Durchschnitt;Unrated;‹berdurchschnitt;5,1 - 10%;;15%-19%
31-40;M;;Gesch‰ftsbereich;A;Permanent;04.11.2022;"""12-14""";0.0;0;51.79500691575551;"""12-14""";Active;0;#NV;Durchschnitt;#NV;‹berdurchschnitt;;3,1 - 5%;5%-9%
51-60;M;;Gesch‰ftsbereich;D;Permanent;;"""9-11""";0.0;1;20.318097830894054;"""9-11""";Terminated;0;#NV;#NV;#NV;#NV;;1,0 - 3 %;15%-19%
41-50;M;;Werk;D;Permanent;;"""6-8""";0.5;0;13.477077220742823;0-2;Active;1;#NV;#NV;#NV;#NV;5,1 - 10%;;5%-9%
31-40;M;;Werk;E;Permanent;;"""6-8""";999.0;0;60.31795151518836;"""6-8""";Active;0;Durchschnitt;‹berdurchschnitt;‹berdurchschnitt;#NV;;40,1 - 60%;20%-24%
41-50;F;;Gesch‰ftsbereich;C;Permanent;;"""9-11""";999.0;1;26.863404958759638;"""6-8""";Active;0;#NV;#NV;#NV;‹berdurchschnitt;1 % - 3 %;3,1 - 5%;10%-14%
41-50;F;;Werk;E;Permanent;;33-35;0.0;0;6.418647559425294;"""6-8""";Active;1;#NV;#NV;Unrated;‹berdurchschnitt;;;5%-9%
41-50;M;;Werk;B;Permanent;;"""6-8""";0.5;1;11.74993644939467;0-2;Terminated;1;#NV;‹berdurchschnitt;#NV;Durchschnitt;3,1 - 5%;1,0 - 3 %;
25-30;M;;Werk;B;Fixed term contract;;"""6-8""";0.5;0;2.4824454454690628;0-2;Active;0;Durchschnitt;‹berdurchschnitt;#NV;#NV;;;20%-24%
41-50;M;;Gesch‰ftsbereich;D;Permanent;31.05.2024;0-2;0.0;0;129.538941971599;0-2;Active;0;#NV;#NV;#NV;#NV;3,1 - 5%;;
51-60;M;;Werk;A;Permanent;;18-20;999.0;1;105.13973429132801;0-2;Active;1;#NV;#NV;#NV;Durchschnitt;3,1 - 5%;;10%-14%
41-50;M;;HQ;F;Permanent;;27-29;999.0;1;57.55439128206485;"""3-5""";Active;1;#NV;Durchschnitt;Unterdurchschnitt;‹berdurchschnitt;3,1 - 5%;;5%-9%
‹ber 60;F;;HQ;A;Permanent;;30-32;0.0;0;84.4099152087045;"""3-5""";Active;0;#NV;#NV;#NV;#NV;5,1 - 10%;20,1 - 40%;
18-24;M;;Gesch‰ftsbereich;G;Permanent;;0-2;1.0;1;20.919872878328327;0-2;Active;0;#NV;Durchschnitt;#NV;‹berdurchschnitt;;;
41-50;M;;Gesch‰ftsbereich;C;Permanent;;21-23;1.0;0;15.05456301685408;18-20;Active;1;Durchschnitt;#NV;#NV;#NV;;10,1 - 15%;5%-9%
25-30;M;;HQ;E;Permanent;;0-2;0.0;0;75.48838422584495;0-2;Terminated;0;Durchschnitt;#NV;#NV;#NV;1 % - 3 %;;
31-40;M;;HQ;F;Fixed term contract;;"""6-8""";1.0;0;27.46533548855662;"""6-8""";Terminated;0;#NV;Durchschnitt;#NV;#NV;5,1 - 10%;;
51-60;M;;Werk;F;Permanent;31.08.2024;36-38;0.0;1;116.26861698203042;15-17;Active;1;‹berdurchschnitt;Unterdurchschnitt;#NV;#NV;5,1 - 10%;;5%-9%
25-30;M;29.02.2024;HQ;E;Permanent;;0-2;999.0;0;184.86212407245117;0-2;Active;1;Durchschnitt;Durchschnitt;#NV;#NV;;3,1 - 5%;
31-40;M;;Werk;C;Permanent;;"""9-11""";1.0;1;185.2258996934979;"""3-5""";Active;0;‹berdurchschnitt;‹berdurchschnitt;Durchschnitt;‹berdurchschnitt;;3,1 - 5%;5%-9%
18-24;M;;Gesch‰ftsbereich;E;Permanent;30.09.2023;"""3-5""";0.0;0;163.6844016766764;0-2;Active;1;‹berdurchschnitt;‹berdurchschnitt;#NV;Unrated;;1,0 - 3 %;65%-69%
51-60;M;;Werk;B;Permanent;;36-38;1.0;1;51.51788864413109;0-2;Active;0;#NV;#NV;Durchschnitt;‹berdurchschnitt;1 % - 3 %;5,1 - 10%;"""-5%-1%"""
25-30;M;;Gesch‰ftsbereich;A;Permanent;;"""3-5""";0.0;1;9.702675557903232;"""3-5""";Active;1;Unrated;#NV;Durchschnitt;Durchschnitt;;kleiner 1%;
18-24;M;;Werk;C;Permanent;;0-2;0.0;0;130.17902104728583;0-2;Active;1;#NV;‹berdurchschnitt;#NV;#NV;1 % - 3 %;kleiner 1%;
31-40;M;;Gesch‰ftsbereich;D;Permanent;;"""12-14""";0.5;1;6.823208575998733;"""12-14""";Active;0;#NV;‹berdurchschnitt;Durchschnitt;#NV;3,1 - 5%;3,1 - 5%;
31-40;F;;Werk;B;Permanent;30.04.2023;"""9-11""";999.0;0;46.320874775427015;"""9-11""";Dormant;1;Durchschnitt;‹berdurchschnitt;#NV;#NV;5,1 - 10%;;15%-19%
31-40;M;;Gesch‰ftsbereich;C;Permanent;;0-2;0.5;1;16.512009893025752;0-2;Active;0;‹berdurchschnitt;Durchschnitt;#NV;#NV;1 % - 3 %;1,0 - 3 %;
51-60;M;;Werk;C;Permanent;;24-26;999.0;0;6.831300319018048;"""6-8""";Terminated;1;#NV;‹berdurchschnitt;Durchschnitt;#NV;;;5%-9%
18-24;M;;Gesch‰ftsbereich;B;Fixed term contract;;"""3-5""";0.0;1;181.89671060227215;0-2;Active;0;‹berdurchschnitt;#NV;‹berdurchschnitt;Durchschnitt;15,1 - 20 %;40,1 - 60%;20%-24%
31-40;M;;Gesch‰ftsbereich;E;Permanent;;"""3-5""";1.0;0;16.66722285724469;"""3-5""";Dormant;0;#NV;‹berdurchschnitt;#NV;‹berdurchschnitt;;1,0 - 3 %;15%-19%
31-40;M;;Gesch‰ftsbereich;C;Permanent;;"""6-8""";1.0;1;98.91617125426657;0-2;Terminated;1;Durchschnitt;Unrated;Durchschnitt;#NV;kleiner 1 %;3,1 - 5%;10%-14%
31-40;M;30.09.2025;Gesch‰ftsbereich;F;Permanent;;15-17;0.5;0;59.15375965857283;"""9-11""";Terminated;1;#NV;#NV;Durchschnitt;#NV;1 % - 3 %;;45%-49%
31-40;M;;Gesch‰ftsbereich;B;Fixed term contract;;"""12-14""";0.0;1;3.7456912896589243;"""9-11""";Active;0;‹berdurchschnitt;#NV;#NV;Durchschnitt;;kleiner 1%;10%-14%
41-50;M;31.01.2025;Werk;F;Permanent;;"""12-14""";1.0;0;63.37701176628575;"""9-11""";Terminated;1;#NV;‹berdurchschnitt;#NV;#NV;10,1 - 15 %;10,1 - 15%;"""-30%-26%"""
51-60;M;;HQ;G;Permanent;10.09.2023;33-35;1.0;1;25.947417822177886;0-2;Terminated;1;#NV;‹berdurchschnitt;#NV;#NV;5,1 - 10%;;10%-14%
41-50;F;;Werk;D;Permanent;31.05.2024;15-17;0.5;0;0.9549827574672758;"""3-5""";Active;1;‹berdurchschnitt;‹berdurchschnitt;‹berdurchschnitt;#NV;;;25%-29%
31-40;F;;Gesch‰ftsbereich;D;Permanent;;0-2;0.0;0;159.9450361569107;0-2;Active;0;#NV;#NV;#NV;#NV;10,1 - 15 %;;
‹ber 60;M;;Werk;F;Permanent;;36-38;0.5;0;44.780545869520246;"""9-11""";Active;0;#NV;Durchschnitt;#NV;#NV;;kleiner 1%;
41-50;M;;Werk;B;Permanent;;"""12-14""";0.5;1;38.31781543326546;"""12-14""";Active;0;Durchschnitt;‹berdurchschnitt;#NV;Durchschnitt;3,1 - 5%;kleiner 1%;
18-24;M;;Gesch‰ftsbereich;G;Fixed term contract;;0-2;0.5;0;268.3573566376259;0-2;Active;1;#NV;Durchschnitt;#NV;#NV;75,01 - 100 %;1,0 - 3 %;
41-50;M;;Werk;A;Permanent;;18-20;1.0;1;-0.5081225990537894;"""3-5""";Active;1;‹berdurchschnitt;#NV;#NV;#NV;5,1 - 10%;;15%-19%
31-40;M;;Werk;D;Permanent;28.02.2023;"""3-5""";0.0;1;17.496043310879838;0-2;Dormant;0;‹berdurchschnitt;Unrated;#NV;#NV;;;25%-29%
31-40;M;;HQ;F;Permanent;14.03.2025;"""12-14""";0.5;1;18.66389815406321;0-2;Active;1;#NV;Unrated;#NV;#NV;;kleiner 1%;20%-24%
31-40;M;;Gesch‰ftsbereich;B;Permanent;;"""9-11""";999.0;1;16.51937666676764;"""9-11""";Active;1;‹berdurchschnitt;‹berdurchschnitt;#NV;#NV;3,1 - 5%;;5%-9%
41-50;M;;Werk;E;Permanent;;"""12-14""";0.5;1;0.43454047775102067;"""12-14""";Dormant;0;#NV;‹berdurchschnitt;#NV;#NV;5,1 - 10%;;
25-30;F;15.11.2024;Gesch‰ftsbereich;B;Permanent;;0-2;0.5;0;72.6489462805005;0-2;Active;0;#NV;Unrated;Durchschnitt;#NV;;;
‹ber 60;M;;Werk;G;Permanent;30.11.2022;18-20;0.0;1;51.530260810257474;0-2;Active;0;#NV;#NV;#NV;‹berdurchschnitt;1 % - 3 %;1,0 - 3 %;
25-30;M;;HQ;D;Permanent;;0-2;0.0;1;30.004967200023795;0-2;Terminated;1;‹berdurchschnitt;‹berdurchschnitt;#NV;#NV;5,1 - 10%;15,1 - 20%;
‹ber 60;M;;Gesch‰ftsbereich;E;Permanent;31.07.2022;21-23;0.5;1;45.96488015953008;18-20;Active;1;‹berdurchschnitt;#NV;#NV;Unrated;15,1 - 20 %;;
31-40;F;;Werk;B;Permanent;;"""6-8""";999.0;1;55.3002383001992;0-2;Terminated;0;#NV;#NV;#NV;‹berdurchschnitt;;60,1 - 75 %;
31-40;M;;HQ;G;Permanent;;"""6-8""";1.0;1;59.5799806096498;"""6-8""";Active;0;‹berdurchschnitt;Durchschnitt;Durchschnitt;#NV;;;15%-19%
41-50;M;31.07.2023;Werk;E;Fixed term contract;;"""9-11""";0.0;1;27.513643816023503;"""6-8""";Active;1;#NV;#NV;#NV;Unrated;1 % - 3 %;3,1 - 5%;15%-19%
31-40;F;;Werk;D;Permanent;;0-2;999.0;0;33.72389265672306;0-2;Active;0;#NV;#NV;#NV;‹berdurchschnitt;1 % - 3 %;1,0 - 3 %;
‹ber 60;F;;Gesch‰ftsbereich;B;Permanent;31.12.2024;24-26;0.0;0;38.20287887851701;0-2;Active;1;Durchschnitt;Unrated;#NV;Durchschnitt;kleiner 1 %;;
41-50;M;;Gesch‰ftsbereich;B;Permanent;30.06.2025;"""12-14""";0.0;1;40.753427773835405;"""12-14""";Active;0;#NV;#NV;Unrated;#NV;;;10%-14%
41-50;F;;Gesch‰ftsbereich;C;Permanent;;"""6-8""";0.0;1;15.419430811371518;"""3-5""";Active;1;#NV;‹berdurchschnitt;#NV;‹berdurchschnitt;15,1 - 20 %;;20%-24%
41-50;M;14.12.2024;Gesch‰ftsbereich;B;Permanent;;15-17;1.0;0;102.0691048301898;0-2;Active;0;‹berdurchschnitt;Durchschnitt;#NV;#NV;5,1 - 10%;kleiner 1%;10%-14%
18-24;F;30.11.2024;HQ;D;Fixed term contract;31.05.2023;"""6-8""";0.5;1;7.585947496039549;0-2;Active;0;‹berdurchschnitt;‹berdurchschnitt;#NV;#NV;;;"""-5%-1%"""
31-40;M;;Gesch‰ftsbereich;G;Permanent;;"""9-11""";0.5;1;37.077827041517224;"""3-5""";Active;1;#NV;#NV;‹berdurchschnitt;Durchschnitt;10,1 - 15 %;3,1 - 5%;15%-19%
51-60;M;;Werk;G;Permanent;;39-41;1.0;1;37.97670143588827;15-17;Terminated;1;#NV;Unrated;#NV;#NV;3,1 - 5%;;5%-9%
